LOADING	H:\Plan_G\TriCore Debug (GCC)\G_001.elf
EMULATION	Probe - System; Root
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
No RAM which needs initialization found
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC380 series, rev. AE
EMULATION	STARTED
PROGRAMMING 	26818 bytes
PROGRAMMING	Infineon TC38x_PFLASH_10MB (6 sectors)
SoC	Detected device: TC100 series, rev. AA
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
EMULATION	END - Not attempting cleanup
